#{"t_start": 1780233715.8396468, "env_id": "Swimmer-v4"}
r,l,t
348.930298,1000,704.818523
354.457762,1000,707.019244
351.024151,1000,709.472019
350.999943,1000,711.891704
354.540664,1000,714.389182
349.970243,1000,716.839458
352.958978,1000,723.37218
347.655592,1000,726.084752
351.249137,1000,728.474352
353.188498,1000,730.775931
352.647352,1000,733.270136
347.953257,1000,735.716148
350.886138,1000,738.149248
349.708538,1000,745.007908
351.505241,1000,747.459092
349.689539,1000,749.842652
352.409891,1000,752.305332
352.846215,1000,755.075282
353.714264,1000,757.770109
357.734561,1000,764.942407
352.498498,1000,767.978439
351.414991,1000,770.872402
354.916508,1000,774.309536
354.015175,1000,777.228923
350.320543,1000,780.056272
352.552213,1000,787.131972
354.129288,1000,789.961316
355.35084,1000,792.723981
352.939909,1000,795.466188
354.159875,1000,797.98219
350.560705,1000,800.808964
356.349134,1000,809.127164
353.337871,1000,811.994516
356.504352,1000,814.446712
355.334411,1000,816.878541
356.224333,1000,819.274445
354.720678,1000,821.68119
354.765041,1000,824.095122
