#{"t_start": 1780240542.622753, "env_id": "Walker2d-v4"}
r,l,t
318.092958,169,193.289136
312.915924,178,193.564098
260.910841,132,193.763129
284.42708,147,194.002793
193.071324,102,195.666185
323.079085,170,195.937378
262.334684,140,196.15642
301.951485,151,197.832834
359.573994,192,198.111479
305.592283,168,198.593361
303.486225,160,200.264351
284.423717,164,200.489932
283.441337,158,200.707751
396.13418,249,202.440634
307.306587,161,202.674802
338.57336,186,202.931647
296.045134,150,204.587054
376.323635,229,204.94452
246.676691,129,205.135257
356.694666,186,206.830045
282.239976,130,207.015327
91.36224,196,207.309009
367.925623,210,209.11406
396.650052,233,209.469511
187.886428,101,209.618315
263.25981,131,211.246146
346.348497,162,211.494902
276.720977,153,211.731503
278.866998,136,213.423856
274.063134,127,213.626547
321.113071,159,213.877342
399.347618,242,215.861145
335.090093,155,216.09527
330.202933,167,216.362699
352.120361,191,218.257933
306.913002,162,218.513153
365.508863,190,218.795093
330.834184,171,221.304653
275.561988,138,221.532599
288.874255,168,221.814962
280.50414,135,222.072431
289.580576,154,223.892127
213.04726,111,224.059946
284.801529,143,224.277878
338.056673,204,226.0708
206.798115,100,226.22736
279.733187,142,226.440867
304.68848,144,226.676306
291.446872,182,228.362802
6.897321,29,228.427405
312.865208,157,228.664859
359.199575,202,230.435918
318.504484,184,230.718159
367.038907,207,231.021901
311.273331,160,232.674191
200.184728,113,232.836414
503.495336,352,234.781636
319.988924,154,235.005858
305.335482,164,235.245045
377.224987,222,237.984276
290.470151,152,238.226052
299.60512,163,238.469132
315.953649,175,240.432536
240.471051,122,240.653965
297.978856,152,240.888825
331.41969,169,241.172964
317.331805,149,243.054193
309.312158,147,243.301115
354.752632,206,243.640989
366.368921,210,245.643842
346.250435,172,245.907682
459.345259,310,247.925504
293.082388,155,248.194632
335.69341,170,248.475573
299.982378,149,250.08034
235.108513,134,250.274786
347.305607,196,250.578408
322.358127,168,252.267579
288.323751,150,252.490098
363.009088,198,252.787868
297.97309,156,255.260005
362.844531,178,255.553556
263.566554,138,255.764292
325.613832,177,257.410681
450.716742,273,257.856329
319.133165,167,258.114213
249.211953,143,260.277959
285.251149,137,260.470228
435.250358,249,260.821132
244.225613,125,262.478688
347.90285,175,262.725888
320.61209,164,262.9869
252.076671,128,264.446767
341.917396,179,264.703261
335.195453,188,264.993261
319.355409,166,266.549912
330.837137,176,266.801098
342.360341,171,267.069551
306.964346,165,268.662915
340.145296,170,268.909369
382.647588,211,269.223724
364.235533,191,270.874619
389.50419,206,271.181477
262.131667,135,271.390699
309.989717,153,272.962287
306.787327,167,273.204454
328.943751,154,273.430601
277.496106,137,274.956799
282.839425,137,275.15695
263.753494,123,275.336747
352.567704,187,276.893884
376.137854,172,277.153207
354.320093,174,277.420264
266.519625,141,277.632289
449.241481,242,279.328239
295.364151,132,279.52124
337.237484,170,281.258367
324.694913,163,281.540998
361.964093,191,281.830723
258.601969,129,282.01727
306.208268,164,283.673136
322.395051,165,283.930588
435.996439,245,286.222354
302.844009,150,287.214872
384.014454,214,287.564844
269.156867,128,289.744865
359.42407,189,290.033778
391.348725,183,290.355558
297.261963,141,292.521014
452.523081,265,292.967099
375.448221,201,293.298925
382.270426,210,295.585432
307.191344,157,295.893186
378.869811,183,298.119386
372.255836,193,298.441707
375.764354,224,298.780148
370.909668,185,300.96545
374.878318,182,301.30263
297.664637,141,301.528926
281.934385,128,303.618398
408.661116,230,304.007867
369.232587,194,304.333956
273.84609,123,306.450333
375.365845,212,306.835911
453.401054,249,309.15777
398.084,205,309.569583
371.5372,189,309.887305
473.942994,308,312.41605
374.3402,193,312.763789
369.614293,197,315.009215
437.356306,232,315.396809
389.809207,234,317.635736
360.66251,193,317.994812
352.763373,185,318.29145
256.227415,126,321.323631
378.155739,200,321.626762
456.881279,259,322.124656
424.475421,225,324.234193
325.91002,171,324.483589
347.976812,173,326.551092
392.625606,197,326.873924
360.8792,195,327.244825
423.111015,224,329.413104
396.64086,210,329.775906
367.6072,208,332.054142
391.179053,212,332.401399
385.825112,189,332.713658
422.490521,231,334.974365
446.844514,241,335.406023
356.448831,181,337.577491
563.952095,383,338.206552
406.11497,207,340.391672
355.276613,188,340.684463
490.841017,287,342.965487
333.392934,160,343.197373
355.295408,175,343.474548
402.096345,212,345.466859
345.845972,173,345.720927
442.94088,235,347.363022
427.652393,203,347.663652
325.683227,178,347.914094
400.768185,226,349.548097
487.590832,298,349.978833
398.416095,207,351.624837
454.368962,239,351.973088
301.564629,127,354.355741
393.777887,180,354.622565
333.641293,158,354.860766
351.988851,184,356.53353
364.077494,166,356.780613
414.906659,213,357.113684
284.396377,130,358.753777
367.608342,179,359.024845
404.222016,195,360.36267
382.860849,197,361.980075
429.773355,248,362.347423
431.149357,254,364.05615
364.382114,183,364.334
419.29508,230,364.677253
331.505602,176,366.249662
313.201686,144,366.449401
373.549764,197,366.736227
419.130639,213,368.415153
416.650465,218,368.740645
456.030777,255,370.469775
355.50487,194,370.74789
368.829235,180,372.341133
423.27385,203,372.637081
333.082339,163,372.882834
297.679701,146,374.406128
377.958931,213,374.721199
515.415573,333,376.92376
393.227146,223,377.266725
404.799175,193,377.547186
362.048612,175,379.706536
351.951083,162,379.933474
500.978347,308,382.013343
394.659374,206,382.313834
364.530541,195,382.575491
454.6552,250,384.61255
57.866536,171,384.857915
345.132831,170,387.588888
336.389613,154,387.819477
407.368759,221,388.154137
300.470034,153,390.161369
355.051086,184,390.460687
368.576471,173,390.728582
415.491997,220,392.905833
327.446353,160,393.132567
377.166301,209,393.437147
354.107163,179,395.430384
338.956824,167,395.677978
361.392772,178,395.936515
300.966402,149,397.975063
325.503236,154,398.210134
500.219526,308,400.535142
437.461771,260,400.939514
403.255141,219,403.085433
367.575247,182,403.358877
348.018019,163,403.603789
380.508674,171,405.542024
377.695298,200,405.874685
523.907051,351,408.539387
431.116615,226,408.967243
401.603072,202,411.309148
381.665331,188,411.657681
420.803829,245,412.142306
365.313517,181,414.453547
368.237245,198,414.878261
415.056507,230,416.898464
345.89869,169,417.163167
459.829832,222,417.590887
387.463091,191,420.102565
408.087462,230,420.580492
305.209359,148,420.807573
354.684514,178,422.602031
327.071815,147,422.906729
306.694549,137,423.117393
391.373404,189,424.746089
331.454414,161,425.039034
428.994268,239,425.456008
372.34426,190,427.472032
444.263167,537,429.860089
330.667129,169,430.150949
362.49865,202,431.936399
347.457412,166,432.226202
462.271403,259,432.711089
328.366208,144,434.323871
362.732922,177,434.592861
464.016018,252,436.263088
335.272874,163,436.498924
381.476423,173,436.763761
319.752325,154,438.463981
274.798169,130,438.941718
369.324694,188,439.35931
337.284862,160,439.65015
364.030067,192,441.242322
408.156763,203,441.64785
331.675159,164,443.301085
327.161377,165,443.613992
346.877787,180,443.953104
403.005828,196,445.762959
353.165722,173,446.069824
148.060321,253,446.47226
408.243464,228,448.303866
367.734196,201,448.643637
403.462954,189,450.623835
407.663889,206,450.991257
354.209876,168,451.255717
389.329757,192,453.774069
393.393302,210,454.17831
308.452751,151,454.519251
328.630084,149,456.321584
389.938389,200,456.625149
320.829381,148,456.904241
359.889126,189,459.077014
304.561174,133,459.383859
367.837701,170,459.647395
409.408343,196,461.402981
335.944401,150,461.615863
332.836584,154,461.849157
381.27034,188,463.986931
326.627286,155,464.297153
370.405209,168,464.546824
310.701858,147,466.445222
376.428071,169,466.72084
327.548785,176,467.004547
373.494457,179,468.866569
394.804128,193,469.152908
365.603257,186,469.41976
373.155912,171,471.312063
408.290206,199,471.630279
444.603126,223,473.627238
379.31192,166,473.869977
323.614273,161,474.114527
370.193035,176,476.052984
402.205733,212,476.386177
403.484551,196,476.696775
332.629441,144,478.546311
369.981631,180,478.840288
606.83422,412,480.937678
374.31849,178,481.918026
391.997701,194,483.639031
375.758505,182,483.927272
302.942664,132,484.131826
302.165562,139,484.344304
313.913637,137,486.788696
400.238464,209,487.102924
388.340121,188,487.392864
374.468306,169,489.011321
367.841754,182,489.316822
360.560858,170,489.565142
419.286363,184,491.264064
356.662296,182,491.550667
391.454537,184,493.227066
386.107506,197,493.519947
366.051141,157,493.748959
340.621116,163,495.404595
384.372103,181,495.68422
441.011241,226,496.028611
362.665314,183,497.647862
354.128855,168,498.173854
326.870515,147,498.483661
373.822872,173,500.030967
363.152263,175,500.274931
358.470638,184,500.536255
364.088347,177,502.25112
310.140934,148,502.459277
334.885667,169,502.727627
363.15451,178,504.765334
428.431463,228,505.121192
347.489934,150,505.339673
315.90085,142,507.24104
354.554956,170,507.522481
324.85969,151,507.779076
304.387112,134,509.918198
469.112374,263,510.383605
317.255821,140,510.611853
395.982927,187,512.775937
346.788641,160,513.042215
340.52438,166,513.361482
352.194682,162,515.084049
