#{"t_start": 1780245470.2937655, "env_id": "Ant-v4"}
r,l,t
-36.092866,22,89.104499
-24.395303,34,90.586468
-1004.440347,1000,92.42537
-89.812179,64,92.543464
-66.025407,48,92.621093
-1005.442884,1000,95.893081
-926.14465,1000,98.281401
-90.355544,74,98.402939
-11.338777,25,98.447633
-40.337005,43,98.522247
-44.064238,36,98.591945
-15.59493,47,98.672325
-21.892489,14,98.694875
-11.274191,24,98.733924
-267.270989,157,98.99099
-36.994468,23,99.028001
-38.231073,24,99.066891
-14.653094,29,99.118068
-53.796868,62,99.228118
-93.293138,77,99.358454
-57.179488,40,99.426
-110.881195,130,99.639791
-35.752239,54,99.730616
-8.785579,28,99.776179
-152.327299,181,101.887187
7.382421,36,101.942626
1.4441,22,101.978585
-50.466314,44,102.052016
-34.30145,65,102.168426
-104.976961,77,102.291302
-15.558524,23,102.327245
-33.353689,19,102.357124
-8.811457,23,102.394289
-33.330021,23,102.430564
-10.35365,54,102.514895
-51.491595,58,102.610981
-20.445776,49,102.699347
-20.852852,13,102.722482
-42.657793,38,102.786044
-89.580713,78,102.926015
-67.85926,85,103.059399
-6.10322,47,103.13784
-20.472293,47,103.211867
-39.688098,29,103.257219
-37.021649,29,103.303216
-63.441323,45,103.379561
-21.713373,22,103.416821
-130.925838,112,103.597737
-141.752085,84,103.733749
-46.241066,28,103.779045
-11.433372,11,103.796552
-79.105751,91,103.948627
-955.054255,1000,107.326751
-35.064071,31,107.375069
-33.376105,37,107.432725
-36.798237,21,107.467152
-54.722253,35,107.520851
-82.111726,73,107.642374
-8.702689,24,107.680827
-54.095357,43,107.748549
-14.925838,21,107.781224
-54.416072,85,107.916629
-28.17778,31,107.971805
-12.44268,16,107.997079
-25.586813,31,108.045695
-39.404222,25,108.08563
-23.593207,17,108.111714
-72.958807,73,108.225391
-15.262823,19,108.256304
-52.785899,31,108.308048
-654.6713,588,109.247608
-10.97182,11,109.265249
-887.192379,1000,112.457407
-18.427335,11,112.475961
-2.250383,13,112.496615
-167.05604,155,112.747778
-75.49327,58,112.841665
-7.467397,13,112.862691
-85.789015,95,113.01883
-17.514279,11,113.043944
-49.582347,50,113.125967
-106.361484,138,113.346666
-27.953625,32,113.397135
-48.236598,49,113.475551
-78.990908,77,113.61291
-15.384872,12,113.631628
-14.019039,55,113.721736
-26.892551,27,113.76738
-980.539239,1000,116.851747
-115.250945,124,117.047609
-41.189461,69,117.156033
2.162442,32,117.204808
-9.864236,36,117.259912
-176.216823,251,117.651453
-26.709082,21,117.693019
-18.485686,17,117.718852
-53.572011,113,117.891783
-68.398256,48,117.96485
-42.077925,26,118.005519
-30.20261,21,118.037707
-83.788956,71,118.148207
-12.597768,84,118.28669
-66.410236,42,118.356983
-60.74214,51,118.436838
-20.46545,17,118.464261
-9.100326,13,118.485727
-6.872634,15,118.510823
-42.080895,39,118.576112
-967.865423,1000,121.993981
-36.218449,39,122.055696
-25.37935,24,122.096053
-17.101532,8,122.112171
-38.170891,67,122.218007
-29.993105,34,122.272409
-15.417837,37,122.331044
-76.762586,42,122.40285
-30.465552,36,122.461336
-33.372545,50,122.541918
-966.630864,1000,124.169154
-27.821179,24,124.207337
-3.828132,11,124.228319
-76.779708,59,124.325408
-953.486039,1000,127.805502
-90.43423,77,127.939752
-39.660524,52,128.031844
-17.916903,15,128.057576
-54.253226,44,128.130536
-13.703771,27,128.175912
-62.13526,43,128.246217
-83.463658,60,128.352007
-22.647981,16,128.37947
-21.054874,22,128.416959
-4.817468,16,128.443291
-11.552623,11,128.461258
-36.907256,73,128.577532
-18.082688,21,128.610959
-93.376394,46,128.689393
8.700943,36,128.747512
-95.055793,155,129.004016
-8.957872,13,129.024696
-18.328334,16,129.050337
-105.453643,61,129.150453
-44.214827,37,129.211226
-22.120185,15,129.235289
-5.815022,25,129.276391
-9.456117,9,129.291651
1.13372,14,129.314416
-17.111861,48,129.393761
-58.124304,78,129.523433
-914.629102,1000,133.61373
-123.842537,157,133.848179
-67.316299,49,133.920217
-17.561201,13,137.191535
-42.045269,40,137.259519
-267.463406,255,137.659462
-6.344828,15,137.682075
-13.628762,13,137.702492
-3.032321,13,137.723475
-17.024984,19,137.754442
-23.27143,53,137.836195
-4.860056,12,137.854381
-57.541773,34,137.931712
-78.731781,58,138.023444
-4.32375,10,138.038876
-281.040599,272,138.472678
-10.880386,45,138.54171
-91.087186,66,138.654675
-37.585899,50,138.732859
-28.504048,23,138.76865
-23.889644,26,138.809309
-7.94812,38,138.873986
-1.972451,17,138.903798
-55.557915,84,139.038048
-15.613303,13,139.057756
-63.402913,50,140.602977
-116.633265,115,140.78845
-50.632708,106,140.962392
-6.817896,9,140.976695
-47.788444,42,141.04272
-20.801747,45,141.111948
-33.046509,21,141.14426
-11.128744,95,141.289339
-30.230936,94,141.439694
-49.213292,96,141.593862
-9.445123,17,141.621535
-21.67845,35,141.678282
-6.852328,12,141.698773
-2.348204,17,141.727539
-3.53493,16,141.753836
-68.423986,67,141.859087
-13.499643,27,141.90135
-46.084084,56,141.991746
-20.518983,28,142.037805
-16.25888,26,142.081729
-26.322333,41,142.151991
-8.253174,33,142.207461
-40.821188,34,142.26345
-19.0557,18,142.291116
-4.731155,14,142.312869
-2.311075,14,142.334663
-47.295047,107,142.510387
-6.105629,18,142.538229
-35.10938,26,142.579814
-0.502638,15,142.603063
-42.581892,46,142.676292
-58.787063,39,142.736207
-36.63433,53,142.818876
-52.82795,45,142.889388
-4.479204,10,142.905452
-19.419642,29,142.953578
-11.191796,13,142.97381
-1.275838,13,142.994485
-38.382562,63,143.096505
-96.861147,173,143.382968
-16.204092,25,143.422056
-74.355759,57,143.511634
-128.440297,132,143.737121
-25.139835,31,143.79183
-66.314505,103,145.494295
-106.766027,85,145.631109
-8.283656,12,145.649923
-8.635323,20,145.683192
-73.036661,88,145.825848
-920.011112,1000,147.472373
-124.605224,126,147.6804
-19.640856,57,147.769735
-125.415331,111,147.953626
-4.319427,32,148.011091
-947.798509,1000,151.114469
-45.196822,68,151.221154
-9.313989,12,151.2412
-15.254853,14,151.263684
-23.797822,18,151.293579
-0.910159,18,151.322898
-910.685019,1000,152.951619
-19.685327,11,152.969592
-39.620922,25,153.011908
-36.223528,67,153.123856
-10.971103,12,153.143341
-85.227856,77,153.275062
-42.532586,21,153.310467
-45.462488,56,153.407007
-12.671693,17,153.434446
-71.792086,46,153.508458
-5.594794,11,153.525683
-9.515225,24,153.56314
-15.029117,12,153.588594
-14.495657,11,153.607149
-89.014117,90,155.276766
-141.804861,109,155.452464
-19.155597,26,155.494781
-27.345784,21,155.528556
-34.557598,33,155.580482
-118.627861,78,155.706015
-4.464758,36,155.764439
-35.942682,67,155.873219
-21.066993,19,155.902644
-40.872637,35,155.957433
-1.135775,12,155.975989
-33.15476,23,156.011641
-47.221909,36,156.072973
1.444834,14,156.096646
-64.300403,35,156.151443
-7.73875,13,156.17167
-3.719195,50,156.254377
-910.61388,1000,158.031747
-12.513522,26,158.074602
-68.064887,71,158.199358
-12.064825,11,158.218045
-5.178406,10,158.2352
-10.242962,16,158.262982
-3.684854,41,158.334768
-4.62045,12,158.359584
-28.637618,38,158.437329
-26.610437,20,158.489825
-17.606593,13,158.523946
-44.046142,42,158.594985
-63.73833,57,158.691127
-55.542737,35,160.284566
-27.772485,102,160.506241
0.110747,25,160.571586
-40.39613,29,160.645321
-65.497125,50,160.733572
-25.499562,27,160.794099
-31.262291,44,160.879725
-72.406825,81,161.021985
-65.138781,103,161.23009
-11.531732,12,161.261097
-898.980224,1000,163.244329
-43.315946,81,163.941465
-6.072695,13,163.962474
-61.968453,38,164.03604
-36.117791,23,164.073527
-22.660476,25,164.113564
-46.939905,58,164.206734
12.883063,52,164.314908
-11.685661,10,164.34093
-75.953073,79,164.500599
-100.123787,89,164.688897
-8.948786,13,164.72222
-8.066864,22,164.778009
-25.203851,33,164.839736
-42.162901,43,166.884236
-22.536111,12,166.911362
15.468508,44,166.985696
-69.041124,53,167.123725
-87.835375,101,167.332442
-45.494995,46,167.420413
-115.460292,73,167.559716
-62.564406,34,167.615683
-95.380785,104,167.870053
11.395617,19,167.911773
-16.616701,36,167.995321
-13.095941,20,168.028327
-45.576951,57,168.124448
-17.935268,16,168.150527
-12.366649,23,168.189085
-40.069043,43,168.292034
-22.142653,13,168.324986
-2.213376,10,168.350558
-121.240757,103,168.546352
-80.10608,105,168.713127
-22.403894,33,168.765523
-16.993412,29,168.814112
-12.791876,15,168.838941
-2.878724,13,168.860746
-40.872903,35,168.932225
-53.711621,71,169.052078
-963.86634,1000,172.407991
-12.116995,17,172.45316
-6.918022,13,172.487362
-186.167026,119,172.716908
-18.280145,30,172.762977
-17.201783,47,172.840019
-2.703396,12,172.859218
-10.933841,11,172.876474
-11.486724,13,172.896819
-18.000154,23,172.932829
-68.463264,39,172.993275
-20.636735,40,173.063249
-47.419797,42,173.165342
-59.581164,49,173.265486
-6.497217,13,173.285039
-16.817213,17,173.316333
-35.226277,44,173.387877
-27.663365,32,173.442288
1.217707,16,173.472734
-912.706657,1000,175.354398
-29.610134,49,175.457254
-896.556595,1000,178.994205
-20.95246,12,179.019839
-33.140172,35,179.099611
11.586734,32,179.166153
-10.590435,11,179.184385
-936.153819,1000,181.102113
-5.923337,36,181.171381
-14.230019,16,181.203227
-4.310698,15,181.229011
-3.775545,11,181.247958
-0.344556,24,181.290009
-13.836789,50,181.403362
-27.197546,48,181.498504
-28.983445,38,181.571033
-4.068685,14,181.593017
-23.810781,24,181.630239
-31.154789,52,183.686187
-1.753622,15,183.725496
-0.999132,15,183.768003
-58.219859,44,183.853106
-11.717802,16,183.889894
-35.843269,108,184.093762
-11.508476,10,184.109554
-35.639874,27,184.151622
-52.017624,55,184.244784
-25.636953,32,184.315139
-13.959116,12,184.337039
-14.718895,38,184.40003
-10.937013,51,184.527303
-26.725698,31,184.593539
