#{"t_start": 1780237883.336712, "env_id": "Hopper-v4"}
r,l,t
16.305514,23,98.661694
26.808787,29,98.699938
22.984739,29,98.740017
26.176137,29,98.780466
20.751065,27,98.831382
35.761935,36,98.879148
30.836407,30,98.940051
28.871446,33,99.389057
17.073762,24,99.422826
22.182695,25,99.456942
15.497233,21,99.485
20.576324,25,99.518059
26.010583,27,99.553284
30.657342,31,99.608533
19.871077,24,99.64807
27.785522,28,99.706318
23.507147,25,99.746977
33.56381,32,99.789071
23.123135,26,99.832889
20.780703,25,99.866552
20.789834,28,99.908316
42.396845,38,99.973768
25.876494,29,100.026992
16.640371,23,100.059976
14.730257,22,100.091282
23.865282,28,100.130996
20.691188,26,100.541919
23.055182,28,100.605081
22.148034,28,100.649085
29.385679,30,100.692056
26.2257,30,100.734789
22.778443,29,100.775587
27.26551,29,100.818531
20.740406,28,100.856054
32.710618,32,100.897864
23.820696,31,100.952101
29.995514,32,101.02141
27.956359,31,101.062879
25.676337,28,101.101916
24.859464,30,101.152596
26.126861,28,101.211244
17.62854,24,101.244824
23.9619,29,101.302317
22.934383,28,101.731443
27.364763,30,101.795342
36.343114,34,101.843998
35.014895,31,101.895732
47.592237,36,101.965174
28.847529,31,102.007415
39.298093,33,102.061643
28.819174,30,102.129949
27.841903,29,102.195047
31.534,31,102.237795
26.532203,29,102.276801
27.730454,31,102.318542
26.968186,28,102.375506
38.526429,32,102.448937
36.242014,32,102.496861
37.578504,35,102.54458
33.075671,34,103.013398
31.853615,32,103.059597
30.916505,29,103.115038
39.71566,35,103.174652
34.806535,33,103.246838
32.545492,31,103.315174
27.151214,29,103.357213
40.960044,33,103.412465
35.9747,32,103.466857
42.213909,35,103.51604
57.778757,40,103.572824
32.16647,31,103.615446
31.419193,29,103.655016
37.278115,32,103.69889
25.817199,30,103.742095
30.381617,31,103.785763
43.885545,36,104.274108
43.926447,35,104.337161
35.36456,32,104.390671
38.445303,33,104.437097
28.239248,30,104.479065
39.589408,33,104.526158
31.366509,30,104.589817
31.031093,32,104.640172
37.895195,33,104.686872
48.331797,40,104.747753
45.662075,36,104.800648
37.985096,33,104.848372
32.323893,31,104.895817
32.739889,31,104.957851
35.527377,31,105.016803
33.183066,30,105.089518
30.267207,30,105.57865
35.928348,34,105.630506
71.870574,46,105.698186
36.450084,32,105.754568
46.427215,34,105.812193
32.367314,31,105.87162
293.124509,151,106.203087
39.681777,33,106.267727
23.898099,27,106.307139
29.648586,30,106.354327
48.313426,36,106.408002
44.240738,37,106.463217
40.444348,32,106.950286
34.110486,31,106.999656
298.863782,170,107.270518
39.865766,34,107.343667
37.726941,32,107.4098
36.59071,31,107.457198
45.780491,34,107.509951
44.144782,34,107.56477
50.73233,37,107.61958
43.451668,34,107.671926
39.270055,32,107.720509
68.317585,44,108.218676
345.108059,209,108.53322
29.246227,29,108.577076
246.415369,146,108.795106
43.862843,36,108.850144
58.883178,40,108.914722
358.917392,219,109.750186
56.592276,40,109.837392
613.888495,585,111.249723
1038.843886,1000,114.495349
374.698407,351,115.549165
1038.654869,1000,118.060992
1034.422064,1000,120.720015
1028.914625,1000,123.197541
1032.925963,1000,125.479156
1032.771558,1000,128.62352
32.443642,26,128.665703
19.0399,18,128.691115
106.103957,82,128.808189
1023.156978,1000,131.013316
1011.691662,1000,133.47266
19.494868,18,133.507115
14.974592,15,133.528901
13.875861,14,133.549392
17.913243,17,133.573648
15.006933,15,133.594577
26.390483,22,133.626413
13.7246,14,133.646372
16.754708,16,133.669407
20.835272,19,133.697023
1012.24084,1000,136.25702
16.414223,16,136.280765
498.163145,485,137.484405
16.478346,16,137.509247
196.61723,181,137.790893
19.156867,18,137.816416
239.138048,229,138.603348
21.962433,20,138.635831
16.726909,16,138.659218
55.449828,43,138.720994
170.607789,155,138.985373
1014.43475,1000,141.548283
1018.513043,1000,143.97055
1020.382504,1000,146.307725
1022.962504,1000,149.448778
1023.595276,1000,151.756945
1020.137253,1000,153.994954
1032.393553,1000,156.359699
1021.2399,1000,159.020522
1022.006821,1000,161.246826
1024.597327,1000,163.610311
1020.232045,1000,165.857887
1021.110966,1000,168.31597
1027.239865,1000,170.543652
1024.28001,1000,172.792595
1026.89135,1000,175.273365
1021.312239,1000,177.234584
1021.754638,1000,180.493004
1022.073973,1000,183.141587
1025.244765,1000,185.874623
1027.491944,1000,188.533367
1028.421924,1000,196.173944
1032.069825,1000,198.642742
1033.791548,1000,201.048349
1033.329825,1000,203.468385
1033.116166,1000,205.961871
1028.630687,1000,208.452752
1026.306809,1000,211.058959
1025.161843,1000,214.275075
1037.226219,1000,216.846176
1035.628194,1000,219.471988
1037.029659,1000,221.832434
1035.909363,1000,224.116665
1041.6334,1000,226.61137
1032.543731,1000,229.209103
1038.638502,1000,231.668582
1038.871683,1000,234.420093
1031.641432,1000,236.640696
1032.955773,1000,239.400526
1033.038571,1000,242.078683
1037.566922,1000,244.946183
1038.429342,1000,248.164464
1040.349563,1000,250.751957
1042.329508,1000,253.07125
1039.120679,1000,255.574575
1040.952073,1000,257.990514
1042.19382,1000,264.935994
1046.032226,1000,267.304291
1046.828649,1000,269.902193
1043.219024,1000,272.478513
1044.992741,1000,275.033726
1047.12065,1000,277.730053
1044.171116,1000,280.66751
1048.519044,1000,282.884682
1048.904141,1000,285.126751
1049.701349,1000,287.443701
1047.701712,1000,289.727963
1050.474058,1000,291.975042
1051.95633,1000,293.990217
1063.017564,1000,296.358941
1062.597715,1000,298.605938
562.999968,458,299.728667
604.561143,522,300.963597
681.202756,542,302.119088
882.213025,717,304.033089
936.121633,767,305.643335
1059.570438,892,307.893531
728.403594,591,309.353654
790.276605,633,311.489575
1057.828335,1000,314.088163
1057.885398,1000,316.621991
966.088523,803,318.774858
1003.148077,840,320.987988
1153.56288,995,322.997625
1053.795688,1000,330.019014
1050.325878,1000,332.571358
313.653932,288,333.415605
194.433809,170,333.669654
171.625024,149,334.264331
1055.746715,1000,336.629155
1055.854327,1000,338.934986
162.341704,140,339.561878
106.085294,87,339.680286
115.817395,93,339.824187
1054.914603,1000,342.14484
1055.992682,1000,344.981226
1054.381404,1000,347.198868
803.98403,646,348.504726
726.998692,625,349.775331
1048.303692,938,351.90286
786.637711,664,353.546847
1057.564717,1000,356.002217
1058.464023,1000,358.165243
1051.713811,1000,360.738267
1051.200791,1000,363.14626
1047.342972,1000,365.459324
1050.226756,1000,367.659363
1051.049287,1000,369.905313
